seed,tag,layer,relation,align_before,align_after,align_delta,acc_eng,acc_fr_unaligned,acc_fr_aligned,acc_fr_upper,m_fr_unal,m_fr_al,m_fr_star,cos_raw_weng_wfrstar,cos_wfrhat_wfrstar,r,n_train,n_test,shuffle_train_pairs,condition,acc_gain_fr,margin_gain_fr,cos_gain
0,base,0,__all__,0.6121045351028442,0.6850950121879578,0.07299047708511353,0.55,0.525,0.525,0.6,-0.0034903078339993954,-0.000638914352748543,0.016697855666279793,0.1199108213186264,0.36657479405403137,256,160,40,False,base,0.0,0.0028513934812508523,0.24666397273540497
0,base,1,__all__,0.6503533124923706,0.6510572576146543,0.0007039451222836668,0.5,0.25,0.25,0.775,-0.6832179427146912,-0.682902555004858,0.686386227607727,-0.9929227232933044,-0.9919519225930507,256,160,40,False,base,0.0,0.00031538770983319253,0.0009708007002537933
0,base,2,__all__,0.6495309472084045,0.6508340446149614,0.0013030974065568746,0.625,0.375,0.4,0.6,-0.6740331649780273,-0.6733911722173491,0.6815805435180664,-0.9830456972122192,-0.981227445392477,256,160,40,False,base,0.025000000000000022,0.0006419927606782228,0.001818251819742267
0,base,3,__all__,0.6500586867332458,0.6527330971146935,0.002674410381447667,0.625,0.425,0.375,0.625,-0.6715990900993347,-0.6705862215061567,0.68389892578125,-0.9727055430412292,-0.9697512421367153,256,160,40,False,base,-0.04999999999999999,0.0010128685931780623,0.0029543009045139845
0,base,4,__all__,0.6485977172851562,0.652816116809845,0.004218399524688721,0.625,0.4,0.375,0.675,-0.6621547937393188,-0.66029953956604,0.6840530633926392,-0.9516547322273254,-0.9467421770095825,256,160,40,False,base,-0.025000000000000022,0.0018552541732788086,0.00491255521774292
0,base,5,__all__,0.6477119326591492,0.6534422412796843,0.0057303086205351406,0.575,0.35,0.35,0.675,-0.6469182372093201,-0.6438052728646465,0.6846370100975037,-0.9149875044822693,-0.9072973659285899,256,160,40,False,base,0.0,0.0031129643446735633,0.007690138553679393
0,base,6,__all__,0.6547259092330933,0.6618542904071285,0.007128381174035248,0.65,0.4,0.4,0.75,-0.6058444380760193,-0.601397684643522,0.684506893157959,-0.8241984844207764,-0.8129042301982176,256,160,40,False,base,0.0,0.004446753432497341,0.011294254222558808
0,base,7,__all__,0.6551915407180786,0.6637054681777954,0.008513927459716797,0.65,0.375,0.375,0.625,-0.5806971788406372,-0.5743432641029358,0.678144097328186,-0.7834997177124023,-0.7681704163551331,256,160,40,False,base,0.0,0.006353914737701416,0.015329301357269287
0,base,8,__all__,0.6572214365005493,0.6680677622751461,0.010846325774596766,0.675,0.45,0.45,0.7,-0.5004488229751587,-0.491711714050731,0.6783955693244934,-0.6145005822181702,-0.5912521937401164,256,160,40,False,base,0.0,0.008737108924427694,0.023248388478053772
0,base,9,__all__,0.6571273803710938,0.6698507641866877,0.012723383815593903,0.675,0.5,0.5,0.725,-0.4276566505432129,-0.41866064428307315,0.6822553873062134,-0.45961353182792664,-0.43229634986788823,256,160,40,False,base,0.0,0.008996006260139744,0.027317181960038406
0,base,10,__all__,0.6542505025863647,0.6695948839187622,0.015344381332397461,0.7,0.5,0.5,0.7,-0.3281506597995758,-0.3167744576931,0.6848549842834473,-0.2790459096431732,-0.24785126745700836,256,160,40,False,base,0.0,0.01137620210647583,0.031194642186164856
0,base,11,__all__,0.6557139158248901,0.6727270591611747,0.017013143336284564,0.725,0.45,0.45,0.725,-0.2627427279949188,-0.2497165765180609,0.681451678276062,-0.16728386282920837,-0.12889970033257178,256,160,40,False,base,0.0,0.013026151476857928,0.03838416249663659
0,base,12,__all__,0.6529021859169006,0.6713349223136902,0.01843273639678955,0.675,0.475,0.475,0.725,-0.1990388035774231,-0.18472978472709656,0.6819798350334167,-0.051634423434734344,-0.009597420692443848,256,160,40,False,base,0.0,0.014309018850326538,0.0420370027422905
0,base,13,__all__,0.6557068824768066,0.6763897001396454,0.02068281766283875,0.65,0.475,0.5,0.775,-0.07146219909191132,-0.05563009198993476,0.6877229809761047,0.15549659729003906,0.19951766151204625,256,160,40,False,base,0.025000000000000022,0.015832107101976557,0.04402106422200719
0,base,14,__all__,0.6624053716659546,0.6828195767918899,0.02041420512593528,0.7,0.65,0.725,0.8,0.017157763242721558,0.03611363074482837,0.6980371475219727,0.26899102330207825,0.31940267300027403,256,160,40,False,base,0.07499999999999996,0.018955867502106816,0.05041164969819578
0,base,15,__all__,0.6657679677009583,0.6867080926895142,0.020940124988555908,0.65,0.5,0.725,0.775,-0.007458309177309275,0.018840333446860313,0.6893315315246582,0.25377702713012695,0.3118358254432678,256,160,40,False,base,0.22499999999999998,0.026298642624169588,0.05805879831314087
0,base,16,__all__,0.6707277297973633,0.6919260025024414,0.021198272705078125,0.65,0.55,0.725,0.8,-0.0015442088479176164,0.027373451739549637,0.6801228523254395,0.27287065982818604,0.3405383229255676,256,160,40,False,base,0.17499999999999993,0.028917660587467253,0.06766766309738159
0,base,17,__all__,0.6766650080680847,0.6980173227412606,0.021352314673175887,0.85,0.75,0.8,0.825,0.1103428453207016,0.14780354511442254,0.7000101804733276,0.42358317971229553,0.4998934963979599,256,160,40,False,base,0.050000000000000044,0.037460699793720936,0.07631031668566435
0,base,18,__all__,0.6765518188476562,0.700160718129309,0.023608899281652773,0.9,0.775,0.75,0.8,0.12090250104665756,0.1679780026487925,0.6896651387214661,0.4464331567287445,0.5475232759364045,256,160,40,False,base,-0.025000000000000022,0.047075501602134945,0.10109011920765998
0,base,19,__all__,0.6779283285140991,0.7051246627083835,0.027196334194284355,0.825,0.725,0.75,0.8,0.12182873487472534,0.17885746531585772,0.7045104503631592,0.46725499629974365,0.5891027380693481,256,160,40,False,base,0.025000000000000022,0.05702873044113238,0.12184774176960445
0,base,20,__all__,0.6951563954353333,0.7251114373803382,0.02995504194500498,0.75,0.75,0.775,0.775,0.10087082535028458,0.17791632564398982,0.7226216197013855,0.45594850182533264,0.6009584378245371,256,160,40,False,base,0.025000000000000022,0.07704550029370524,0.14500993599920442
0,base,21,__all__,0.6971800327301025,0.7306103706359863,0.03343033790588379,0.725,0.75,0.775,0.775,0.10982052981853485,0.1921146810054779,0.7349472045898438,0.47652533650398254,0.6293572187423706,256,160,40,False,base,0.025000000000000022,0.08229415118694305,0.15283188223838806
0,base,22,__all__,0.6976877450942993,0.7332309035544196,0.03554315846012024,0.75,0.7,0.725,0.8,0.13072869181632996,0.21825931533625184,0.7404400706291199,0.4956110417842865,0.6544113635028779,256,160,40,False,base,0.025000000000000022,0.08753062351992189,0.15880032171859138
0,base,23,__all__,0.6881743669509888,0.7296356409048936,0.041461273953904865,0.65,0.675,0.775,0.775,0.11057744920253754,0.20082876531834662,0.7459897994995117,0.4928852617740631,0.6525150017907133,256,160,40,False,base,0.09999999999999998,0.09025131611580908,0.1596297400166502
0,base,24,__all__,0.6797665357589722,0.7268243469766815,0.047057811217709355,0.675,0.75,0.775,0.75,0.12016262859106064,0.21570612668712247,0.7525120973587036,0.5047023296356201,0.6700798253785389,256,160,40,False,base,0.025000000000000022,0.09554349809606183,0.16537749574291882
0,base,25,__all__,0.6692387461662292,0.7235058546066284,0.05426710844039917,0.7,0.75,0.725,0.775,0.1361997276544571,0.23608240485191345,0.7568297386169434,0.5160956382751465,0.691455602645874,256,160,40,False,base,-0.025000000000000022,0.09988267719745636,0.17535996437072754
0,base,26,__all__,0.6550030708312988,0.7190884947776794,0.06408542394638062,0.775,0.775,0.8,0.775,0.15110012888908386,0.26974552869796753,0.7656201124191284,0.5237084627151489,0.7161327004432678,256,160,40,False,base,0.025000000000000022,0.11864539980888367,0.1924242377281189
0,base,27,__all__,0.6249381303787231,0.7044087813219182,0.07947065094319505,0.825,0.75,0.8,0.8,0.174628347158432,0.31490625829615265,0.7813615202903748,0.5269485116004944,0.7447407687289523,256,160,40,False,base,0.050000000000000044,0.14027791113772065,0.21779225712845796
0,base,28,__all__,0.5826871991157532,0.6858910322189331,0.10320383310317993,0.725,0.775,0.775,0.775,0.12653692066669464,0.3008834719657898,0.7533586025238037,0.48400595784187317,0.7523161768913269,256,160,40,False,base,0.0,0.17434655129909515,0.26831021904945374
0,base,29,__all__,0.5514429211616516,0.6799139978842236,0.12847107672257196,0.875,0.825,0.825,0.8,0.25865694880485535,0.40220589492776754,0.7857455015182495,0.6435549855232239,0.8266550000402788,256,160,40,False,base,0.0,0.1435489461229122,0.18310001451705493
0,base,30,__all__,0.5051511526107788,0.6635504961013794,0.15839934349060059,0.9,0.8,0.825,0.75,0.24154487252235413,0.4196162819862366,0.7275487780570984,0.6335742473602295,0.8456393480300903,256,160,40,False,base,0.02499999999999991,0.17807140946388245,0.21206510066986084
0,base,31,__all__,0.5207032561302185,0.656954288482666,0.1362510323524475,0.775,0.65,0.8,0.8,0.18808791041374207,0.4389961361885071,0.9057291746139526,0.5264355540275574,0.760089635848999,256,160,40,False,base,0.15000000000000002,0.250908225774765,0.23365408182144165
1,base,0,__all__,0.5373006463050842,0.6251036524772644,0.08780300617218018,0.575,0.575,0.575,0.575,0.006770214531570673,0.009527797810733318,0.012303367257118225,0.6066847443580627,0.8066879510879517,256,160,40,False,base,0.0,0.0027575832791626453,0.20000320672988892
1,base,1,__all__,0.525253415107727,0.5259334444999695,0.0006800293922424316,0.65,0.575,0.575,0.575,0.39553102850914,0.3958820104598999,0.3973553776741028,0.9960299134254456,0.9967633485794067,256,160,40,False,base,0.0,0.0003509819507598877,0.0007334351539611816
1,base,2,__all__,0.5250314474105835,0.5264321565628052,0.0014007091522216797,0.6,0.625,0.625,0.675,0.3949803411960602,0.39559289813041687,0.39849600195884705,0.991883397102356,0.9932196140289307,256,160,40,False,base,0.0,0.0006125569343566895,0.001336216926574707
