layer,n,align_delta_mean,align_delta_std,margin_gain_mean,margin_gain_std,acc_gain_mean,acc_gain_std,cos_gain_mean,cos_gain_std,acc_fr_unal_mean,acc_fr_al_mean,acc_fr_star_mean,m_fr_unal_mean,m_fr_al_mean,m_fr_star_mean
0,20,0.0856192850948276,0.01093217686629705,0.002059875058368507,0.0005547592841118332,0.01624999999999999,0.04157665716544118,0.20736491003749769,0.05175497504051863,0.52,0.53625,0.585,0.0010354675294365733,0.0030953425878050807,0.008912707574199884
1,20,0.0007757236812085177,0.00014787439031099534,0.0005999714702044244,0.000591072957884143,0.0037500000000000033,0.014678573715310008,0.0021430228314071875,0.0021048246958204862,0.4875,0.49124999999999996,0.5974999999999999,-0.10850498918443918,-0.10790501771423477,0.32791866455227137
2,20,0.0015686665066929062,0.00034800536778231076,0.0010036721772382373,0.0009593275782476998,-0.0024999999999999996,0.016018081887929695,0.0034153238949695187,0.003117994872874083,0.5025000000000001,0.5,0.6224999999999999,-0.107643149420619,-0.10663947724338077,0.3273810362443328
3,20,0.003538381972526705,0.0008174699030311174,0.0013146893340058763,0.0011623269338325733,0.0012499999999999929,0.012760444638350995,0.004861647471041478,0.004226767513144727,0.49000000000000005,0.49124999999999996,0.60875,-0.10832357499748468,-0.10700888566347881,0.3281587364152074
4,20,0.005743310913192759,0.001349287588189312,0.00185607301787995,0.0015754788759515961,-0.004999999999999988,0.02378632955468771,0.0070630848810387,0.005709321902105163,0.49874999999999997,0.49375,0.6125,-0.1014733669348061,-0.09961729391692616,0.3277923260815442
5,20,0.009219008748110259,0.0023582541672602405,0.00233607448009057,0.0017753479916580537,-0.0024999999999999996,0.01381265628632706,0.009292104897682396,0.006876624769503027,0.49625,0.49375,0.6174999999999999,-0.10290574934333563,-0.10056967486324506,0.3278491528704762
6,20,0.011236739926523354,0.003163264844830016,0.0028165238033024073,0.0020698519660077483,-0.010000000000000012,0.03183014129307068,0.011572013900161611,0.007130180812016616,0.525,0.515,0.62375,-0.09026633286848665,-0.08744980906518424,0.32657321263104677
7,20,0.012890924709526347,0.003617152761040316,0.0033648947682242136,0.002596414619405636,0.0024999999999999996,0.026778821168189887,0.014793738045802984,0.008416097393905635,0.5225,0.525,0.61875,-0.0904269931372255,-0.08706209836900129,0.32482957243919375
8,20,0.014602123421199925,0.004532008755858391,0.0036710250105011382,0.0033575573855365677,-0.013749999999999995,0.0286482754142466,0.0182394003177588,0.00902114811510803,0.5599999999999999,0.54625,0.63625,-0.056748785861418585,-0.05307776085091744,0.3252609299495816
9,20,0.016706924674505373,0.005253547739524382,0.0033992315193908094,0.0035210241473130456,-0.0037500000000000033,0.031700697319243874,0.02018516821087413,0.009094270881044432,0.575,0.57125,0.64375,-0.02510813307017088,-0.02170890155078007,0.3295379477320239
10,20,0.01844280805092576,0.006215354273023638,0.0042000515147664575,0.003960495435406227,0.008749999999999997,0.028417702044213275,0.022337218096873238,0.00940402324281733,0.5974999999999999,0.60625,0.6325000000000001,0.019118329710909165,0.023318381225675623,0.3374717670958489
11,20,0.019842320248833874,0.007065599022135179,0.0052793464434204435,0.004582974469757185,5.551115123125783e-18,0.022941573387056154,0.026743446098194255,0.010895117453839415,0.62,0.62,0.6487499999999999,0.042763885390013454,0.048043231833433904,0.33851592941209674
12,20,0.021412075813418203,0.007845960756594238,0.006256840179200823,0.005208217183383336,0.007499999999999995,0.02577738707104594,0.029937525620236355,0.011391457701328591,0.6375,0.645,0.6599999999999999,0.06457351827993989,0.07083035845914072,0.342070029489696
